name,age,gender,attendance_rate,assignments_completed,midterm_score,final_exam_score,dropout
Taylor Robertson,21,Male,0.5769730329811535,10,43,68,0
Brooke James,20,Female,0.7152351730508938,4,63,83,0
Harold Thomas,21,Female,0.6568524435728086,11,76,63,0
Robert Cook,24,Male,0.7779403873647941,12,80,43,1
Lisa Winters,19,Male,0.713639251635721,5,48,85,1
Jonathan Lee,19,Male,0.5244471869169272,13,68,76,1
Theresa Bond,18,Female,0.7819764134970697,1,62,77,0
Teresa Mcdonald,23,Female,0.7173452179535683,13,46,55,1
Connie Price,23,Male,0.5589963188386329,7,79,96,1
James Norton,20,Male,0.7577164440965273,19,40,100,1
John Coleman,25,Male,0.8138720335775429,15,78,50,1
Lisa Hernandez,19,Male,0.6916723409157375,5,73,65,1
Mary Gates,19,Male,0.5071509502223692,19,78,75,0
William Preston,21,Male,0.5591522881205049,19,83,42,0
Shannon Gonzalez,19,Female,0.6817916009495723,15,78,82,1
Lauren Smith,23,Female,0.6524325038296805,9,83,48,0
Charlotte Hensley,21,Male,0.5998547139694956,0,40,78,0
Christina Kelley,20,Male,0.510914794307413,15,84,76,0
Danielle Robinson,22,Male,0.9614250069087618,11,99,75,1
Evelyn Barr,20,Female,0.932291556359138,4,46,84,1
Brian Bright,21,Female,0.8836796536195204,10,71,59,1
Ms. Lauren Stein,21,Female,0.5691468929983395,8,48,80,1
Jose Williams,20,Male,0.5248002422111202,18,71,83,1
Ricky Miller,21,Female,0.6611516831588804,6,57,81,1
Matthew Lee,21,Female,0.8762674932469201,9,57,58,1
Isaiah Terry,18,Female,0.9247261033653384,5,54,45,1
Monica Dixon,22,Male,0.773446412404892,6,83,62,1
Monica Flowers,22,Male,0.6510873299672475,12,58,94,1
Rhonda Conway,23,Male,0.6421685381077988,4,57,76,0
Kimberly Mathews,20,Female,0.9997500377627055,15,81,68,0
Ryan Solis,18,Male,0.5078456351461584,19,43,67,0
Samantha Combs,23,Male,0.5148163640440166,19,93,89,0
Judy Benson,22,Female,0.805949895117849,15,80,81,1
Leah Combs,19,Male,0.9329721908801727,17,90,93,0
Scott Campbell,18,Female,0.7988203131220213,12,59,43,1
Teresa Casey,21,Male,0.5887712175342095,14,52,56,1
Stephanie Burns,25,Female,0.8820298330890859,17,53,97,1
Veronica Johnson,23,Male,0.765141071774307,2,98,57,0
John Sanchez,23,Female,0.834784803775586,15,94,63,0
James Bowman,24,Female,0.9693432773781476,14,70,81,0
Katherine Hill,22,Male,0.6642230350240286,17,89,40,1
Patrick Johnson,20,Male,0.9962154005613506,19,93,41,0
Deanna Myers,24,Male,0.6982794440745808,5,42,94,0
John Walker,22,Female,0.7822715810835181,13,98,49,0
Jordan Harris,24,Female,0.5970171587766486,9,47,41,1
Sarah Stafford,18,Female,0.7909758363908297,3,57,71,1
Mrs. Leslie Miller,22,Female,0.6628706710525738,14,44,63,0
Caleb Doyle,23,Male,0.9281109145387009,8,93,50,1
Jamie Austin,21,Female,0.5820097075783361,8,82,70,0
David Bartlett,19,Male,0.8471071642454692,18,98,52,0
Colleen West,21,Female,0.6653002361061495,1,98,86,1
Benjamin Moss,19,Male,0.7259710464164496,12,47,52,0
Shannon Blackburn,20,Male,0.8706602811180792,15,61,64,0
Nicole Alvarez,21,Male,0.5927821502792215,8,44,99,1
Deborah Kirk,18,Male,0.5136016965462171,4,99,75,0
Christian Evans,25,Male,0.5936919099263538,4,75,85,0
Gina Allen,24,Female,0.8656833774668746,13,50,42,0
Mark Barnett,19,Female,0.9909883491273179,18,90,90,0
Brooke Werner,19,Female,0.6430827283316163,7,53,96,1
Sarah Soto,18,Female,0.8155861098565439,20,90,76,0
Lauren Bailey,22,Male,0.8784948478791518,9,61,93,1
Daniel Friedman,23,Male,0.747946884244615,3,78,97,0
Michael Buchanan,24,Male,0.8651031264853832,1,70,47,0
Christopher Brown,22,Male,0.5472688201736379,7,66,74,0
Andrea Price,22,Male,0.5713887261270807,13,75,50,1
Francisco Pitts,20,Male,0.6939516529066991,1,81,73,0
Kerri Maynard,18,Male,0.5319892015927508,13,97,91,0
Corey Mora,22,Female,0.9444327038073244,5,83,74,1
Diane Long,20,Male,0.693890115821322,11,61,85,0
Marvin Bauer,22,Female,0.8016710958979447,0,62,54,1
Catherine Brown,19,Female,0.7078561063626524,1,97,75,0
Janice Cohen,24,Male,0.9494991415008585,6,93,88,0
Terry Abbott,23,Female,0.5848346509123279,0,50,55,0
Mary Hampton,23,Male,0.7747606940613485,17,69,52,0
Thomas Christensen,23,Male,0.8734680748428757,18,81,58,0
Lisa Parks,18,Female,0.9879746029554495,8,85,94,1
Elizabeth Richardson MD,22,Male,0.9626519176650867,15,42,89,0
Christina Townsend,23,Male,0.6399965897810982,10,73,71,0
Stephanie Little,20,Male,0.8188457556720568,16,44,82,1
Melissa Gordon,21,Female,0.5122951986495281,11,61,98,0
Elizabeth Crosby,25,Female,0.8888428461354265,1,82,98,0
